ccg_code,ccg_name,ccg_patient_count,ccg_scrips_per_head,ccg_spend_per_head,ccg_scrips_drift
11M,NHS Gloucestershire CCG,496709.0,0.0011596327024475095,0.04730387409932174,1.5649110070800027
11N,NHS Kernow CCG,453574.0,9.788920881708388E-4,0.050188679245282995,1.5686212984171446
11T,NHS North Somerset CCG,170640.0,5.391467416783872E-4,0.025565869667135498,1.5776485076925422
11X,NHS Somerset CCG,438437.0,0.0014528883283117073,0.06501834927252946,1.5588909776994093
12A,NHS South Gloucestershire CCG,204972.0,0.0012099213551119178,0.05402269578283862,1.5638786682607286
12D,NHS Swindon CCG,172928.0,3.8744448556624723E-4,0.020335168393782382,1.580762691900283
12F,NHS Wirral CCG,268747.0,0.006928449433854145,0.25014794583753497,1.446487204938151
13P,NHS Birmingham Crosscity CCG,540420.0,7.549683579438215E-4,0.03609437104474298,1.5732180642285634
99A,NHS Liverpool CCG,396128.0,8.027708215526295E-4,0.04067526153162617,1.5722367625585896
99C,NHS North Tyneside CCG,175585.0,0.0033829769057721333,0.11718466839422499,1.5192696067224034
99D,NHS South Lincolnshire CCG,126824.0,0.0012300510944300764,0.06557181606005172,1.5634654396252612
99E,NHS Basildon and Brentwood CCG,207630.0,0.0022925396137359728,0.09460020228290708,1.5416543930889308
99F,NHS Castle Point and Rochford CCG,146373.0,0.001038442882225547,0.058102245632732814,1.5673988238992542
99G,NHS Southend CCG,144026.0,0.0017288545123797091,0.08596225681474175,1.5532258705723294
99H,NHS Surrey Downs CCG,226936.0,0.0019036204039905523,0.08818442203969395,1.5496382299290425
99J,NHS West Kent CCG,365318.0,0.0029289550473833754,0.12789178195435186,1.5285898880260524
99K,NHS High Weald Lewes Havens CCG,132882.0,0.0014147890609713882,0.06184140816664408,1.5596730895790771
99M,NHS North East Hampshire and Farnham CCG,170761.0,0.0024830025591323548,0.1028935764021058,1.5377445191561747
99N,NHS Wiltshire CCG,362681.0,0.0013262343491939198,0.05612276353048546,1.5614909642238324
99P,"NHS North, East, West Devon CCG",722197.0,0.0017876008900618529,0.07354634538775429,1.5520199093273992
99Q,NHS South Devon and Torbay CCG,234969.0,0.0015448846443573408,0.0653255961424698,1.5570024528880986
